"","id","X.featureID","csi_smiles","ms2_smiles","ms2_library_match","parent_mass","retention_time","table_number","smiles","structure_source","kingdom","superclass","class","subclass","direct_parent"
"4","1a15c5d50f541d6875e61552473e11d2",821,"COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)OC","missing","missing","missing","missing",1,"COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)OC","CSIFingerID","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Biflavonoids and polyflavonoids","Biflavonoids and polyflavonoids"
"7","5fadebca47a4fc24f721350185afb5ae",1065,"CC=C(C)C(=O)OC1C(C=C(C2=CCC(C12C)C3=COC=C3)C=C4C=C(C(C(OC4=O)(C)C)CC(=O)OC)C)OC(=O)C","missing","missing","missing","missing",1,"CC=C(C)C(=O)OC1C(C=C(C2=CCC(C12C)C3=COC=C3)C=C4C=C(C(C(OC4=O)(C)C)CC(=O)OC)C)OC(=O)C","CSIFingerID","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tetracarboxylic acids and derivatives","Tetracarboxylic acids and derivatives"
"11","d74fc4abfc3da3891894a850aee34f32",430,"CCCCCCCCCC(=O)CCCCCCCCC(=O)O","missing","missing","missing","missing",1,"CCCCCCCCCC(=O)CCCCCCCCC(=O)O","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids"
"13","b34da0a7b9e364f783d97761a5018dfc",832,"CC(=O)C=CC=CC1=CC2=C(C=C1)OCO2","missing","missing","missing","missing",1,"CC(=O)C=CC=CC1=CC2=C(C=C1)OCO2","CSIFingerID","Organic compounds","Organoheterocyclic compounds","Benzodioxoles","unclassified","Benzodioxoles"
"17","8d4bb0912fce22aa372a401bbba32c06",224,"missing","missing","missing","missing","missing",1,"missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"21","9b54588f7b87827823f9a3fd6c03af92",28,"CCC1=CC=C(C=C1)C(=O)C2=CC=CS2","missing","missing","missing","missing",1,"CCC1=CC=C(C=C1)C(=O)C2=CC=CS2","CSIFingerID","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Aryl-phenylketones"
"25","e2ce0b432a5c580c7f70bacee3db287c",1005,"CCCCCCCCCCCCCCCC(=O)OCC=C(C)CCC1C(=C)CCC2C1(CCCC2(C)C(=O)OC)C","missing","missing","missing","missing",1,"CCCCCCCCCCCCCCCC(=O)OCC=C(C)CCC1C(=C)CCC2C1(CCCC2(C)C(=O)OC)C","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Wax monoesters"
"27","f32b20f6565b223770d9915bd3e4797d",810,"CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCC=C(C)C)C(=C1O)C)C","missing","missing","missing","missing",1,"CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCC=C(C)C)C(=C1O)C)C","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Quinone and hydroquinone lipids","Vitamin E compounds"
"30","7d9c3f8b634f365abd61876920cde1a0",1255,"C(CC(C(=O)O)NC(CCC(=O)O)C(=O)O)CN=C(N)N","missing","missing","missing","missing",1,"C(CC(C(=O)O)NC(CCC(=O)O)C(=O)O)CN=C(N)N","CSIFingerID","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives"
"32","f8ffa642174ea8c97cd97bcb9a705eb3",645,"missing","missing","missing","missing","missing",1,"missing","missing","unclassified","unclassified","unclassified","unclassified","unclassified"
"33","3e93b22995c4c165a44d540ce776911a",925,"CCCCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCC=CCC=CCC=CCC=CCC=CCC","missing","missing","missing","missing",1,"CCCCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCC=CCC=CCC=CCC=CCC=CCC","CSIFingerID","Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Diradylglycerols","1,2-diacylglycerols"
