"","ZAMC00040.mzXML.Peak.area","ZAMC00016.mzXML.Peak.area","ZAMC00029.mzXML.Peak.area","ZAMC00047.mzXML.Peak.area","ZAMC00009.mzXML.Peak.area","ZAMC00027.mzXML.Peak.area","ZAMC00045.mzXML.Peak.area","ZAMC00032.mzXML.Peak.area","ZAMC00038.mzXML.Peak.area","ZAMC00001.mzXML.Peak.area","ZAMC00052.mzXML.Peak.area","ZAMC00023.mzXML.Peak.area","ZAMC00014.mzXML.Peak.area","ZAMC00025.mzXML.Peak.area","ZAMC00020.mzXML.Peak.area","ZAMC00041.mzXML.Peak.area","ZAMC00018.mzXML.Peak.area","ZAMC00012.mzXML.Peak.area","ZAMC00031.mzXML.Peak.area","ZAMC00003.mzXML.Peak.area","ZAMC00005.mzXML.Peak.area","ZAMC00026.mzXML.Peak.area","ZAMC00021.mzXML.Peak.area","ZAMC00036.mzXML.Peak.area","ZAMC00007.mzXML.Peak.area","ZAMC00015.mzXML.Peak.area","ZAMC00033.mzXML.Peak.area","ZAMC00034.mzXML.Peak.area","ZAMC00043.mzXML.Peak.area","ZAMC00037.mzXML.Peak.area","ZAMC00049.mzXML.Peak.area","ZAMC00039.mzXML.Peak.area","ZAMC00024.mzXML.Peak.area","ZAMC00046.mzXML.Peak.area","ZAMC00050.mzXML.Peak.area","ZAMC00028.mzXML.Peak.area","ZAMC00019.mzXML.Peak.area","ZAMC00013.mzXML.Peak.area","ZAMC00017.mzXML.Peak.area","ZAMC00022.mzXML.Peak.area","ZAMC00051.mzXML.Peak.area","ZAMC00042.mzXML.Peak.area","ZAMC00008.mzXML.Peak.area","ZAMC00030.mzXML.Peak.area","ZAMC00006.mzXML.Peak.area","ZAMC00044.mzXML.Peak.area","ZAMC00035.mzXML.Peak.area","ZAMC00004.mzXML.Peak.area","ZAMC00011.mzXML.Peak.area","ZAMC00010.mzXML.Peak.area","ZAMC00002.mzXML.Peak.area","ZAMC00048.mzXML.Peak.area"
"ZAMC00040.mzXML.Peak.area",1,0.792164051907868,0.975107719216207,0.891382107545209,0.855916037306214,0.886794516993558,0.960496331107862,0.962473623191914,0.809193750338841,0.559751081934326,0.687837594766442,0.98136790300868,0.935148243133028,0.718917715813809,0.745308408186474,0.950336931162094,0.94327850231813,0.836263203256281,0.892382756046981,0.885369280808211,0.872327633311123,0.889678517898128,0.965307670455261,0.661213506684618,0.735321445746377,0.812845283384387,0.93601994884832,0.964675725637402,0.979035238898233,0.669112289303616,0.613159436857157,0.585388075540811,0.592613827008404,0.982477836705214,0.722960122672031,0.904142445424546,0.813534886289193,0.662642548857008,0.843756429135893,0.743208311039424,0.495295526643791,0.923192969007551,0.818344182680908,0.968375496434396,0.926269303102913,0.985906753340824,0.630192652383293,0.707014994265762,0.829851871211549,0.72140046755143,0.989050649398122,0.621812743440721
"ZAMC00016.mzXML.Peak.area",0.792164051907868,1,0.869843605979222,0.920834023858201,0.816096522137994,0.935703026960601,0.888088187297143,0.881473902457473,0.671510982514538,0.639667573183076,0.733256303198958,0.765440061657849,0.893138436700134,0.863690592507495,0.845370022217983,0.801673256456841,0.905265177559559,0.974603314283574,0.924934875373809,0.811586772538845,0.823164858706992,0.84779491363825,0.845948629898308,0.728186461172262,0.834139300904501,0.889416438565828,0.923078590670536,0.739381244935599,0.826059693407988,0.74342880930415,0.695251919571141,0.751763778351621,0.78767454907441,0.84656865510509,0.773706657414843,0.845772443458503,0.950330304260758,0.88668049080551,0.885196603947347,0.876263499572662,0.733341716014953,0.861466162388676,0.958507640270784,0.749051378827915,0.657185971770966,0.810270247966269,0.745725903557301,0.727980103058716,0.81746006475697,0.901013753595304,0.793335934033498,0.553579823209064
"ZAMC00029.mzXML.Peak.area",0.975107719216207,0.869843605979222,1,0.944453055459788,0.857155336274864,0.924512059691042,0.985718194543482,0.975721757618057,0.776360535174633,0.597748985079618,0.715853350337977,0.945712460324339,0.962187682906957,0.79363109919893,0.821036950091579,0.938980701197194,0.955187348516005,0.903500330507803,0.961442969910063,0.888769718793179,0.877481492599438,0.902924637331093,0.962169732400442,0.690287600616672,0.779661036031302,0.880882916792237,0.962452276732876,0.933592979846502,0.97302729511568,0.69505689656252,0.653267729298627,0.626162984608068,0.681770337536468,0.985790498448875,0.74504268788744,0.910913501894163,0.887373752840729,0.74242658261869,0.875733396919402,0.827332543035479,0.559445447267163,0.927729941264979,0.886141029847461,0.934867009531607,0.875004586907673,0.973929444424632,0.661485280366338,0.717143756329672,0.838612057664034,0.798930961812981,0.973341765124908,0.610244138313646
"ZAMC00047.mzXML.Peak.area",0.891382107545209,0.920834023858201,0.944453055459788,1,0.800941839673602,0.915725781520112,0.938597124690479,0.92421911893629,0.669437848037845,0.588036113532035,0.66017636097687,0.851856581628289,0.927698422354614,0.803401140940302,0.814706561554937,0.831058462800962,0.908684515986249,0.917454432120586,0.974804008567689,0.822024534065487,0.828766770759608,0.847559001630386,0.880635082070259,0.639005643217378,0.764778094306845,0.95439275708114,0.926325447793442,0.808362665579319,0.900405118179935,0.651749438765779,0.598939791966045,0.627828727777521,0.737283936060477,0.937906877512725,0.725064297269845,0.847728189342627,0.912022826978051,0.830142312056699,0.847416939235043,0.926568739595758,0.626018889452325,0.866965041139256,0.900796421241059,0.841065081856301,0.770683843060234,0.886287073129417,0.634257256925131,0.654896797537504,0.775065310369111,0.838214451592424,0.880265652988804,0.524872789872826
"ZAMC00009.mzXML.Peak.area",0.855916037306214,0.816096522137994,0.857155336274864,0.800941839673602,1,0.904814425911459,0.8708749123087,0.881544492905438,0.905254959988116,0.729323378598948,0.812417367589627,0.852326504171617,0.869053194362174,0.878384466890448,0.832133316796351,0.883517320010499,0.898415824867839,0.862334863445742,0.812683709986646,0.959147836774632,0.974818526935302,0.950660207962629,0.881770856116684,0.788578162569274,0.878473621320368,0.745385322624719,0.881821422246755,0.857860304442568,0.872910242223156,0.796015094339318,0.743244906810937,0.604337391718858,0.750378644195816,0.850551098757184,0.84811388167439,0.948041286634239,0.846395846082833,0.78519054846534,0.954566729602733,0.709006478224286,0.652720691551117,0.924215267703266,0.859419292005229,0.82080585077706,0.775341119890211,0.862749252444963,0.765428164031734,0.827025112129124,0.95801945563628,0.781332456474215,0.853188610648068,0.731155850211273
"ZAMC00027.mzXML.Peak.area",0.886794516993558,0.935703026960601,0.924512059691042,0.915725781520112,0.904814425911459,1,0.942944926497872,0.940397943954436,0.770126267851864,0.657235791787653,0.742351444411893,0.865372508680231,0.945287098702403,0.865650177994037,0.880404179019809,0.908501853907356,0.957965504114939,0.97102753322646,0.921161236129068,0.916814622189103,0.912343626992596,0.936431725680361,0.914838502391961,0.716524254285704,0.831605944465906,0.8677988679428,0.949907296679516,0.857894141248903,0.910997683345596,0.724257199486582,0.681336351820172,0.635650136294263,0.766488963858307,0.905253976754462,0.784726216995443,0.942249255340953,0.959098806584292,0.85923555184008,0.929425631806725,0.843643074080708,0.637951067799673,0.965186984963964,0.950434148263414,0.834727217900796,0.773962131307287,0.888447845607972,0.697413602844013,0.73725122044558,0.865243489095907,0.888506737037844,0.877466903263977,0.616030262012577
"ZAMC00045.mzXML.Peak.area",0.960496331107862,0.888088187297143,0.985718194543482,0.938597124690479,0.8708749123087,0.942944926497872,1,0.989304028364217,0.7776929751541,0.607450577784423,0.720328654947117,0.934272508647462,0.973871161328734,0.809285031896626,0.834895196696445,0.946117111265977,0.970245629254173,0.919239720331522,0.953051371124972,0.897119642010272,0.888043485979514,0.911923346219078,0.969824303274906,0.693264149227301,0.788583261737325,0.877227551465054,0.972851841713572,0.938398224801665,0.979099379144205,0.698138876536424,0.65691984416928,0.629092230968906,0.697061959142898,0.969016437961286,0.752099387047109,0.920504225130576,0.90085398179196,0.762936450866574,0.889187316783214,0.8263719002655,0.570045711712304,0.93788408037466,0.897063574115324,0.915313104073369,0.856644961745603,0.962865611945282,0.66439576422535,0.719035916143676,0.8447310600463,0.813712368904715,0.954884827673192,0.612608969455872
"ZAMC00032.mzXML.Peak.area",0.962473623191914,0.881473902457473,0.975721757618057,0.92421911893629,0.881544492905438,0.940397943954436,0.989304028364217,1,0.789300497761503,0.608566298247647,0.713810387365663,0.946255055672466,0.973797373289062,0.794732404479601,0.806598704283477,0.947621202282754,0.977418334413516,0.909213304998889,0.932410190133347,0.900497656474935,0.890583100603432,0.91419079386322,0.978746906187588,0.690351427387209,0.785696693751163,0.859830471102214,0.97597320053111,0.948239230104731,0.980822398925681,0.697857085396261,0.645780746122803,0.636024930255509,0.673329016510596,0.967128695487626,0.752209216282441,0.924732771491534,0.886486160412746,0.761769026177658,0.894250562872138,0.815591599274668,0.56497985980887,0.946034672428528,0.888287929958903,0.923044578195907,0.868916877816049,0.968704330795864,0.667075291606749,0.724337720639013,0.85137115699862,0.817533031252025,0.956398060872169,0.612875560014113
"ZAMC00038.mzXML.Peak.area",0.809193750338841,0.671510982514538,0.776360535174633,0.669437848037845,0.905254959988116,0.770126267851864,0.7776929751541,0.789300497761503,1,0.66120606835088,0.858872453530396,0.792848117739339,0.772991307687221,0.728357923666458,0.718362858374707,0.853592034757623,0.797074795671474,0.722604863764568,0.674801816582414,0.90140842686725,0.905120450018101,0.876087537065442,0.815822620682681,0.846331174733722,0.841010596161199,0.594593729200243,0.792596108959971,0.84964382856004,0.818656847772902,0.864009483913365,0.795999362544881,0.659132938317079,0.63332284645869,0.776803881036796,0.873180032088731,0.87417198983656,0.715014978134397,0.591908252545024,0.834436950162444,0.554724201323012,0.64950650827454,0.845587989021321,0.754053969293625,0.802982751110589,0.771026433442967,0.815189801994174,0.826572934095786,0.897400528076485,0.941790939037395,0.605831040733008,0.804790079333393,0.823083132892689
"ZAMC00001.mzXML.Peak.area",0.559751081934326,0.639667573183076,0.597748985079618,0.588036113532035,0.729323378598948,0.657235791787653,0.607450577784423,0.608566298247647,0.66120606835088,1,0.721957002023225,0.554005985186651,0.619175942465579,0.741718826620562,0.707239497371634,0.601432957463421,0.615483834879974,0.661387053599992,0.614138914882195,0.690012120409917,0.712673269310127,0.683218307327844,0.601227849042547,0.695930996378286,0.767495687777146,0.567161067841537,0.624059851114373,0.580650143905584,0.596942113677462,0.654514400424167,0.70090223476512,0.5092828807036,0.732977139527937,0.585373966804823,0.757565004926678,0.681088024812217,0.67940658106547,0.666367138111468,0.698826758255676,0.605486661019635,0.703788334295707,0.66370681422575,0.671455485626628,0.531839593825498,0.486014273119829,0.57932960990588,0.628312532058174,0.692820034962668,0.712857811769544,0.670891905409828,0.58408875757353,0.717565725552022
